Name,Brand,Ratings,No_of_ratings,No_of_reviews,Product_features,MSP,MRP,Discount
LG 2 Ton 3 Star Split Dual Inverter Super Convertible 6-in-1 Cooling HD Filter with Anti-Virus Protect...,LG,4.2,193, 11,"['Power Consumption: 1232.78 kWh', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",50490,85990,41
Voltas 1 Ton 3 Star Window AC  - White,Voltas,4.2,2504, 217,"['Room Size: 90 sqft or Below', '1 Year on Product and 4 Years on Compressor']",25850,33990,23
CARRIER 1 Ton 3 Star Window AC  - White,CARRIER,4.3,917, 94,"['Power Consumption: 1110 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor']",29999,37090,19
Voltas 2 in 1 Convertible Cooling 1.6 Ton 3 Star Split Inverter AC  - White,Voltas,4.2,4071, 415,"['Power Consumption: 1880 W', 'Room Size: 151 to 200 sqft', '1 Year on Product and 5 Years on Compressor from Voltas']",36999,65990,43
Whirlpool 4 in 1 Convertible Cooling 1 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.1,6539, 753,"['Power Consumption: 1080 W', 'Room Size: 90 sqft or Below', '1 year comprehensive+5year on compressor']",30999,55600,44
Lloyd 1.5 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,633, 129,"['Power Consumption: 1002.76 kWh', 'Room Size: 111 to 150 sqft', '1 Year Comprehensive Warranty on AC and 10 Years on Compressor']",34999,59990,41
"LG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Dual Inverter AI, 4 Way Swing, HD Filter with...",LG,4.2,186, 24,"['Power Consumption: 818.81 kWh', 'Room Size: 111 to 150 sqft', '1 Year on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",45990,76990,40
Daikin 1.5 Ton 5 Star Split Inverter AC  - White,Daikin,4.3,308, 50,"['Power Consumption: 1290 W', 'Room Size: 111 to 150 sqft', '1 Year on Product, 10 Years on Compressor and 5 Years on PCB']",47290,71200,33
MarQ by Flipkart 1.5 Ton 5 Star Window AC  - White,MarQ,4.2,1366, 193,"['Power Consumption: 1520 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years on Compressor']",26499,31999,17
"Hitachi 1 Ton 3 Star Split Inverter AC  - White, Gold",Hitachi,3.9,3262, 337,"['Power Consumption: 688.96 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Complete Product and 10 Years on Compressor']",33990,48200,29
Daikin 0.8 Ton 3 Star Split AC with PM 2.5 Filter  - White,Daikin,4.1,1232, 141,"['Power Consumption: 709 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor']",27790,37400,25
ONIDA 1 Ton 5 Star Split Inverter AC  - White,ONIDA,4.4,46, 3,"['Power Consumption: 940 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Year on Compressor from Onida']",35490,53990,34
SAMSUNG Super Convertible 6-in-1 Cooling 1.5 Ton 5 Star Split Inverter WINDFREE Technology AC  - White,SAMSUNG,4.3,286, 31,"['Power Consumption: 1350 W', 'Room Size: 111 to 150 sqft', '1 Year Standard Warranty on Product and 10 Years Warranty on Compressor From Samsung']",44990,70990,36
Voltas 1.5 Ton 4 Star Split Inverter AC  - White,Voltas,4.1,758, 79,"['Power Consumption: 1540 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",34990,69990,50
SAMSUNG 1 Ton 4 Star Split Inverter AC  - White,SAMSUNG,4.1,1128, 121,"['Power Consumption: 960 W', 'Room Size: 90 sqft or Below', '1 Year Standard Warranty on Product and 10 Years on Compressor']",32999,50990,35
Lloyd 0.8 Ton 3 Star Split Inverter AC  - White,Lloyd,4.3,633, 129,"['Power Consumption: 585.16 kWh', 'Room Size: 90 sqft or Below', '1 Year Comprehensive Warranty on Product and 10 Years on Compressor']",28490,41990,32
Thomson 4 in 1 Convertible Cooling 1.5 Ton 5 Star Split Inverter With iBreeze Technology AC  - White,Thomson,4.1,681, 149,"['Power Consumption: 1350 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 10 Years on Compressor Warranty']",34999,48998,28
Panasonic 1.5 Ton 3 Star Window AC  - White,Panasonic,4.2,446, 72,"['Power Consumption: 858.42 W', 'Room Size: 111 to 150 sqft', '1 Year on Product and 5 Years Compressor From Panasonic.']",26499,33500,20
"Godrej 1 Ton 3 Star Split Inverter With Anti-Virus Protection AC  - White, Gold",Godrej,4.2,307, 30,"['Power Consumption: 752.58 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor']",29599,35900,17
Daikin 1 Ton 3 Star Split AC with PM 2.5 Filter  - White,Daikin,4.1,1232, 141,"['Power Consumption: 848 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 5 Years on Compressor']",31399,46000,31
Blue Star 1 Ton 3 Star Split AC  - White,Blue,4.2,1878, 174,"['Power Consumption: 955 W', 'Room Size: 90 sqft or Below', '1 Year on Product and 5 Years Warranty on Compressor']",30990,44750,30
"CARRIER Flexicool Convertible 4-in-1 Cooling 1.2 Ton 5 Star Split Inverter Auto Cleanser, Dual Filtrat...",CARRIER,4.3,11207," 1,346","['Power Consumption: 1050 W', 'Room Size: 91 to 110 sqft', '1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor']",38999,64590,39
Hitachi 1.5 Ton 3 Star Split Inverter AC  - Gold,Hitachi,3.9,3262, 337,"['Power Consumption: 1730 W', 'Room Size: 111 to 150 sqft', '1 years Comprehensive warranty, 5 years on Controller/PCB, 10 years on Compressor, 1 year Free Gas Recharge']",36999,52700,29
Hitachi 1.5 Ton 3 Star Window AC  - White,Hitachi,4,2628, 286,"['Power Consumption: 1277.28 kWh', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 1 Year on PCB Controller and 5 Years on Compressor']",29999,34490,13
MOTOROLA 1.5 Ton 5 Star Split Dual Inverter Smart AC with Wi-fi Connect  - Silver,MOTOROLA,4.3,1039, 157,"['Power Consumption: 865.7 W', 'Room Size: 111 to 150 sqft', '1 year on product and 10 years on compressor']",41990,56549,25
CARRIER 1.5 Ton 3 Star Split AC with PM 2.5 Filter  - White,CARRIER,4.2,7113, 774,"['Power Consumption: 1128.65 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",32999,47990,31
LG Super Convertible 5-in-1 Cooling 1 Ton 3 Star Split Dual Inverter HD Filter with Anti-Virus Protect...,LG,4.1,1660, 167,"['Power Consumption: 680.58 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years on PCB and 10 Years on Compressor with Gas Charging']",34590,59990,42
Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White,Whirlpool,4.2,28706," 3,620","['Power Consumption: 1660 W', 'Room Size: 111 to 150 sqft', '1 year comprehensive+10year on compressor']",31990,53900,40
Voltas 1.5 Ton 3 Star Split Inverter AC  - White,Voltas,4.2,4734, 494,"['Power Consumption: 1690 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and 5 Years on Compressor']",34270,61990,44
MarQ by Flipkart Convertible 4-in-1 Cooling 0.8 Ton 3 Star Split Inverter AC  - White,MarQ,4,657, 85,"['Power Consumption: 578.54 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor from MarQ by Flipkart']",25999,45499,42
"Godrej 1 Ton 5 Star Split Dual Inverter With Anti-Virus Protection AC  - White, Silver",Godrej,4.2,307, 30,"['Power Consumption: 584.46 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years on Compressor']",34490,45900,24
LG 1 Ton 5 Star Split Dual Inverter AC  - Floral White,LG,4.3,247, 43,"['Power Consumption: 938 W', 'Room Size: 90 sqft or Below', '10 Years on Compressor with free gas recharge*, 5 Years on PCB*']",41490,48990,15
